frame.time_epoch,ip.src,ip.dst,udp.srcport,udp.dstport,udp.length,coap.code,coap.type,coap.mid,coap.token,coap.opt.uri_path_recon
1551283396.064075614,192.168.10.102,192.168.10.105,48718,5683,12,69,0,15650,,
1551283396.064230714,192.168.10.102,192.168.10.104,46639,5683,12,69,0,18641,,
1551283396.064687702,192.168.10.104,192.168.10.102,5683,46639,12,0,2,18641,,
1551283396.064759260,192.168.10.105,192.168.10.102,50397,5683,37,3,0,49838,,/floor_1_light
1551283397.065284702,192.168.10.102,192.168.10.105,5683,50397,12,68,2,49838,,
1551283397.065509738,192.168.10.102,192.168.10.105,44915,5683,12,69,0,16802,,
1551283397.065669126,192.168.10.102,192.168.10.104,42602,5683,12,69,0,8992,,
1551283397.065688471,192.168.10.105,192.168.10.102,5683,48718,12,0,2,15650,,
1551283397.065819013,192.168.10.105,192.168.10.102,5683,44915,12,0,2,16802,,
1551283397.065896362,192.168.10.104,192.168.10.102,5683,42602,12,0,2,8992,,
1551283398.066681239,192.168.10.102,192.168.10.105,53624,5683,12,69,0,319,,
1551283398.067488971,192.168.10.105,192.168.10.102,5683,53624,12,0,2,319,,
1551283398.067742233,192.168.10.102,192.168.10.104,46499,5683,12,69,0,25724,,
1551283398.068187199,192.168.10.104,192.168.10.102,5683,46499,12,0,2,25724,,
1551283399.069314986,192.168.10.102,192.168.10.105,59366,5683,12,69,0,27613,,
1551283399.069594912,192.168.10.102,192.168.10.104,41143,5683,12,69,0,50523,,
1551283399.069930524,192.168.10.105,192.168.10.102,5683,59366,12,0,2,27613,,
1551283399.069987251,192.168.10.104,192.168.10.102,5683,41143,12,0,2,50523,,
1551283400.071616461,192.168.10.102,192.168.10.105,34787,5683,12,69,0,10845,,
1551283400.071635294,192.168.10.102,192.168.10.104,37206,5683,12,69,0,15204,,
1551283400.071908400,192.168.10.104,192.168.10.102,5683,37206,12,0,2,15204,,
1551283400.071951725,192.168.10.105,192.168.10.102,5683,34787,12,0,2,10845,,
1551283401.073844050,192.168.10.102,192.168.10.104,44560,5683,12,69,0,40466,,
1551283401.073890192,192.168.10.102,192.168.10.105,56798,5683,12,69,0,13052,,
1551283401.074353874,192.168.10.104,192.168.10.102,5683,44560,12,0,2,40466,,
1551283401.074485104,192.168.10.105,192.168.10.102,5683,56798,12,0,2,13052,,
1551283402.075762615,192.168.10.102,192.168.10.104,57095,5683,12,69,0,44245,,
1551283402.076331395,192.168.10.104,192.168.10.102,5683,57095,12,0,2,44245,,
