frame.time_epoch,ip.src,ip.dst,udp.srcport,udp.dstport,udp.length,coap.code,coap.type,coap.mid,coap.token,coap.opt.uri_path_recon,,,,,frame.xtime
1552500010,192.168.10.106,192.168.10.107,53630,5683,12,69,0,60338,,,,,,,1552500000
1552500015,192.168.10.106,192.168.10.107,53630,5683,12,69,0,60338,,,,,,,1552500000
1552500020,192.168.10.107,192.168.10.106,5683,53630,12,0,2,60338,,,,,,,1552500000
1552500023,192.168.10.107,192.168.10.106,5683,53630,12,0,2,60338,,,,,,,1552500000
1552500027,192.168.10.106,192.168.10.107,54188,5683,12,69,0,58683,,,,,,,1552500002
1552500030,192.168.10.106,192.168.10.107,54188,5683,12,69,0,58683,,,,,,,1552500002
1552500032,192.168.10.107,192.168.10.106,5683,54188,12,0,2,58683,,,,,,,1552500002
1552500033,192.168.10.107,192.168.10.106,5683,54188,12,0,2,58683,,,,,,,1552500002
1552500037,192.168.10.106,192.168.10.107,59040,5683,12,69,0,8992,,,,,,,1552500004
1552500038,192.168.10.106,192.168.10.107,59040,5683,12,69,0,8992,,,,,,,1552500004
1552500039,192.168.10.107,192.168.10.106,5683,59040,12,0,2,8992,,,,,,,1552500004
1552500041,192.168.10.107,192.168.10.106,5683,59040,12,0,2,8992,,,,,,,1552500004
1552500044,192.168.10.106,192.168.10.107,49658,5683,12,69,0,50523,,,,,,,1552500006
1552500045,192.168.10.106,192.168.10.107,49658,5683,12,69,0,50523,,,,,,,1552500006
1552500046,192.168.10.107,192.168.10.106,5683,49658,12,0,2,50523,,,,,,,1552500006
1552500047,192.168.10.107,192.168.10.106,5683,49658,12,0,2,50523,,,,,,,1552500006
1552500049,192.168.10.106,192.168.10.107,40205,5683,12,69,0,40466,,,,,,,1552500008
1552500050,192.168.10.106,192.168.10.107,40205,5683,12,69,0,40466,,,,,,,1552500008
1552500051,192.168.10.107,192.168.10.106,5683,40205,12,0,2,40466,,,,,,,1552500008
1552500052,192.168.10.107,192.168.10.106,5683,40205,12,0,2,40466,,,,,,,1552500008
1552500054,192.168.10.106,192.168.10.107,57600,5683,12,69,0,15280,,,,,,,1552500010
1552500055,192.168.10.106,192.168.10.107,57600,5683,12,69,0,15280,,,,,,,1552500010
1552500055,192.168.10.107,192.168.10.106,5683,57600,12,0,2,15280,,,,,,,1552500010
1552500056,192.168.10.107,192.168.10.106,5683,57600,12,0,2,15280,,,,,,,1552500010
1552500059,192.168.10.106,192.168.10.107,60495,5683,12,69,0,28604,,,,,,,1552500012
1552500059,192.168.10.106,192.168.10.107,60495,5683,12,69,0,28604,,,,,,,1552500012
1552500060,192.168.10.107,192.168.10.106,5683,60495,12,0,2,28604,,,,,,,1552500012
1552500060,192.168.10.107,192.168.10.106,5683,60495,12,0,2,28604,,,,,,,1552500012
1552500063,192.168.10.106,192.168.10.107,40413,5683,12,69,0,7195,,,,,,,1552500014
1552500063,192.168.10.106,192.168.10.107,40413,5683,12,69,0,7195,,,,,,,1552500014
1552500064,192.168.10.107,192.168.10.106,5683,40413,12,0,2,7195,,,,,,,1552500014
1552500064,192.168.10.107,192.168.10.106,5683,40413,12,0,2,7195,,,,,,,1552500014
1552500067,192.168.10.106,192.168.10.107,39438,5683,12,69,0,51894,,,,,,,1552500016
1552500067,192.168.10.106,192.168.10.107,39438,5683,12,69,0,51894,,,,,,,1552500016
1552500067,192.168.10.107,192.168.10.106,5683,39438,12,0,2,51894,,,,,,,1552500016
1552500068,192.168.10.107,192.168.10.106,5683,39438,12,0,2,51894,,,,,,,1552500016
1552500070,192.168.10.106,192.168.10.107,37635,5683,12,69,0,13374,,,,,,,1552500018
1552500071,192.168.10.106,192.168.10.107,37635,5683,12,69,0,13374,,,,,,,1552500018
1552500071,192.168.10.107,192.168.10.106,5683,37635,12,0,2,13374,,,,,,,1552500018
1552500071,192.168.10.107,192.168.10.106,5683,37635,12,0,2,13374,,,,,,,1552500018
1552500074,192.168.10.106,192.168.10.107,44285,5683,12,69,0,34477,,,,,,,1552500020
1552500074,192.168.10.106,192.168.10.107,44285,5683,12,69,0,34477,,,,,,,1552500020
