frame.time_epoch,ip.src,ip.dst,udp.srcport,udp.dstport,udp.length,coap.code,coap.type,coap.mid,coap.token,coap.opt.uri_path_recon
1551358501.484456399,192.168.10.102,192.168.10.104,58593,5683,12,69,0,6381,,
1551358501.484826555,192.168.10.104,192.168.10.102,5683,58593,12,0,2,6381,,
1551358501.485347844,192.168.10.102,192.168.10.105,44115,5683,12,69,0,65051,,
1551358501.485703876,192.168.10.105,192.168.10.102,5683,44115,12,0,2,65051,,
1551358502.487451623,192.168.10.102,192.168.10.104,50742,5683,12,69,0,15019,,
1551358502.487873324,192.168.10.104,192.168.10.102,5683,50742,12,0,2,15019,,
1551358502.488472326,192.168.10.102,192.168.10.105,48485,5683,12,69,0,1511,,
1551358502.488832961,192.168.10.105,192.168.10.102,5683,48485,12,0,2,1511,,
1551358502.489430119,192.168.10.105,192.168.10.102,50793,5683,37,3,0,2555,,/floor_1_light
1551358502.489530472,192.168.10.102,192.168.10.105,5683,50793,12,133,2,2555,,
1551358502.490060579,192.168.10.102,192.168.10.104,59193,5683,12,69,0,25023,,
1551358502.490468012,192.168.10.104,192.168.10.102,5683,59193,12,0,2,25023,,
1551358502.491392058,192.168.10.102,192.168.10.105,40326,5683,12,69,0,43196,,
1551358502.491778255,192.168.10.105,192.168.10.102,5683,40326,12,0,2,43196,,
1551358503.493440942,192.168.10.102,192.168.10.104,58724,5683,12,69,0,60338,,
1551358503.493887340,192.168.10.104,192.168.10.102,5683,58724,12,0,2,60338,,
1551358503.494457351,192.168.10.102,192.168.10.105,46837,5683,12,69,0,63472,,
1551358503.494924110,192.168.10.105,192.168.10.102,5683,46837,12,0,2,63472,,
1551358504.496857439,192.168.10.104,192.168.10.102,53041,5683,29,3,0,45191,,/floor_1_temp
1551358504.496953559,192.168.10.102,192.168.10.104,48350,5683,12,69,0,58683,,
1551358505.498606762,192.168.10.104,192.168.10.102,5683,48350,12,0,2,58683,,
1551358505.498844486,192.168.10.102,192.168.10.105,35333,5683,12,69,0,18641,,
1551358505.499333044,192.168.10.105,192.168.10.102,5683,35333,12,0,2,18641,,
1551358505.499519564,192.168.10.102,192.168.10.104,5683,53041,12,68,2,45191,,
1551358505.500178228,192.168.10.102,192.168.10.104,43130,5683,12,69,0,43039,,
1551358505.500598622,192.168.10.104,192.168.10.102,5683,43130,12,0,2,43039,,
1551358505.501246590,192.168.10.102,192.168.10.105,35671,5683,12,69,0,5318,,
1551358505.501651932,192.168.10.105,192.168.10.102,5683,35671,12,0,2,5318,,
1551358505.502392360,192.168.10.105,192.168.10.102,59277,5683,38,3,0,3544,,/floor_1_light
1551358505.502547254,192.168.10.102,192.168.10.105,5683,59277,12,133,2,3544,,
1551358505.502956291,192.168.10.102,192.168.10.104,48425,5683,12,69,0,25466,,
1551358505.503196379,192.168.10.104,192.168.10.102,5683,48425,12,0,2,25466,,
1551358505.503528821,192.168.10.102,192.168.10.105,58746,5683,12,69,0,4389,,
1551358505.503727741,192.168.10.105,192.168.10.102,5683,58746,12,0,2,4389,,
1551358506.505059677,192.168.10.102,192.168.10.104,60065,5683,12,69,0,54443,,
1551358506.505669257,192.168.10.104,192.168.10.102,58893,5683,29,3,0,58414,,/floor_1_temp
1551358507.506756578,192.168.10.102,192.168.10.105,57171,5683,12,69,0,44817,,
1551358507.507183691,192.168.10.105,192.168.10.102,5683,57171,12,0,2,44817,,
1551358507.507356477,192.168.10.102,192.168.10.104,5683,58893,12,68,2,58414,,
1551358507.507632098,192.168.10.104,192.168.10.102,5683,60065,12,0,2,54443,,
1551358507.507979529,192.168.10.102,192.168.10.104,55811,5683,12,69,0,18249,,
1551358507.508171313,192.168.10.105,192.168.10.102,45488,5683,37,3,0,23329,,/floor_1_light
1551358507.508296438,192.168.10.104,192.168.10.102,5683,55811,12,0,2,18249,,
1551358507.508945161,192.168.10.102,192.168.10.105,60614,5683,12,69,0,8816,,
1551358508.509802448,192.168.10.105,192.168.10.102,5683,60614,12,0,2,8816,,
1551358508.510079809,192.168.10.102,192.168.10.105,5683,45488,12,133,2,23329,,
1551358508.510829039,192.168.10.102,192.168.10.104,57182,5683,12,69,0,57612,,
1551358508.511296481,192.168.10.104,192.168.10.102,5683,57182,12,0,2,57612,,
1551358508.512108818,192.168.10.102,192.168.10.105,52075,5683,12,69,0,63524,,
