    192.168.42.151;192.168.42.1;1;ads.androworks.org;
    192.168.42.151;192.168.42.1;1;aladin.spekacek.com;
    192.168.42.151;192.168.42.1;1;aladin.udplogger.androworks.org;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;android.clients.google.com;
    192.168.42.151;192.168.42.1;1;api.accuweather.com;
    192.168.42.151;192.168.42.1;1;api.accuweather.com;
    192.168.42.151;192.168.42.1;1;api.accuweather.com;
    192.168.42.151;192.168.42.1;1;clients3.google.com;
    192.168.42.151;192.168.42.1;1;clients4.google.com;
    192.168.42.151;192.168.42.1;1;cloudconfig.googleapis.com;
    192.168.42.151;192.168.42.1;1;cyrus.cesnet.cz;
    192.168.42.151;192.168.42.1;1;ew1.reg.bigdata.ssp.samsung.com;
    192.168.42.151;192.168.42.1;1;ew1.reg.bigdata.ssp.samsung.com;
    192.168.42.151;192.168.42.1;1;ew1.reg.bigdata.ssp.samsung.com;
    192.168.42.151;192.168.42.1;1;ew1.reg.bigdata.ssp.samsung.com;
    192.168.42.151;192.168.42.1;1;iphone-xml.booking.com;
    192.168.42.151;192.168.42.1;1;kazi.fit.vutbr.cz;
